NC;NN;MC;MN;V;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N
3;Unidade da Federação;1017;Toneladas;...;52;Goiás;214;Quantidade produzida;2023;2023;39431;
3;Unidade da Federação;1017;Toneladas;...;52;Goiás;214;Quantidade produzida;2023;2023;39441;
